yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY80024	Q4JB05	Q4JB05_SULAC	unreviewed	Uncharacterized protein	Saci_0635	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	103
AAY80826	Q4J8Q4	Q4J8Q4_SULAC	unreviewed	Conserved Crenarchaeal protein	Saci_1505	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	108
AAY80843	Q4J8N4	Q4J8N4_SULAC	unreviewed	HTH cro/C1-type domain-containing protein	Saci_1525	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	107
AAY80827	Q4J8Q3	Q4J8Q3_SULAC	unreviewed	Conserved membrane protein	Saci_1506	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	293
AAY80873	Q4J8K6	Q4J8K6_SULAC	unreviewed	Conserved protein	Saci_1560	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	131
AAY80877	Q4J8K4	Q4J8K4_SULAC	unreviewed	Conserved protein	Saci_1564	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	316
AAY80886	Q4J8J5	Q4J8J5_SULAC	unreviewed	Conserved protein	Saci_1573	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	201
CAD31982	Q8NKP4	Q8NKP4_9CREN	unreviewed	Uncharacterized protein	ATY89_10155 ATZ20_01710	Sulfolobus acidocaldarius	102
CAD31981	Q8NKP5	Q8NKP5_9CREN	unreviewed	Uncharacterized protein	ATY89_10150 ATZ20_01705	Sulfolobus acidocaldarius	103
AAY80927	Q4J8F3	Q4J8F3_SULAC	unreviewed	Conserved protein	Saci_1615	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	148
AAY80939	Q4J8D9	Q4J8D9_SULAC	unreviewed	Conserved protein	Saci_1627	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	129
AAY80965	Q4J8B6	Q4J8B6_SULAC	unreviewed	Conserved protein	Saci_1655	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	173
AAY80969	Q4J8B2	Q4J8B2_SULAC	unreviewed	Conserved membrane protein	Saci_1659	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	171
AAY80970	Q4J8B1	Q4J8B1_SULAC	unreviewed	Conserved protein	Saci_1660	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	134
AAY80978	Q4J8A3	Q4J8A3_SULAC	unreviewed	Conserved protein	Saci_1668	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	584
AAY81043	Q4J838	Q4J838_SULAC	unreviewed	Conserved protein	Saci_1737	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	522
AAY80994	Q4J887	Q4J887_SULAC	unreviewed	Conserved protein	Saci_1686	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	468
AAY80995	Q4J886	Q4J886_SULAC	unreviewed	Conserved protein	Saci_1687	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	160
AAY81018	Q4J863	Q4J863_SULAC	unreviewed	Conserved protein	Saci_1712	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199
AAY81030	Q4J847	Q4J847_SULAC	unreviewed	Trypsin-like serine protease	Saci_1724	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	493
AAY81052	Q4J826	Q4J826_SULAC	unreviewed	Conserved membrane protein	Saci_1746	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	355
AAY81054	Q4J828	Q4J828_SULAC	unreviewed	Conserved protein	Saci_1748	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	138
AAY81104	Q4J7X8	Q4J7X8_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_1798	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	293
AAY81117	Q4J7W5	Q4J7W5_SULAC	unreviewed	Conserved membrane protein	Saci_1811	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	238
AAY81123	Q4J7V8	Q4J7V8_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_1817	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	207
AAY81131	Q4J7V1	Q4J7V1_SULAC	unreviewed	DUF4382 domain-containing protein	Saci_1825	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	170
AAY81146	Q4J7T7	Q4J7T7_SULAC	unreviewed	Conserved protein	Saci_1840	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	185
AAY81151	Q4J7T0	Q4J7T0_SULAC	unreviewed	Conserved protein	Saci_1845	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	146
AAY81156	Q4J7S5	Q4J7S5_SULAC	unreviewed	Membrane protein	Saci_1850	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	359
AAY81164	O54088	CBSA_SULAC	reviewed	Cytochrome b558/566 subunit A	cbsA Saci_1858	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	462
AAY81165	O54089	CBSB_SULAC	reviewed	Cytochrome b558/566 subunit B	cbsB Saci_1859	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	310
AAY81169	Q4J7R3	Q4J7R3_SULAC	unreviewed	Conserved protein	Saci_1863	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	165
AAY81215	Q4J7L7	Q4J7L7_SULAC	unreviewed	Conserved membrane protein	Saci_1912	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	769
AAY81220	Q4J7L1	Q4J7L1_SULAC	unreviewed	Conserved membrane protein	Saci_1917	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	757
AAY81231	Q4J7K0	Q4J7K0_SULAC	unreviewed	Uncharacterized protein	Saci_1928	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	174
AAY81232	Q4J7J9	Q4J7J9_SULAC	unreviewed	HEPN domain-containing protein	Saci_1929	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	113
AAY81236	Q4J7J5	Q4J7J5_SULAC	unreviewed	Conserved protein	Saci_1933	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	113
AAY81324	Q4J7A7	Q4J7A7_SULAC	unreviewed	Nickel/cobalt efflux system	Saci_2028	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	355
AAY81340	Q4J792	Q4J792_SULAC	unreviewed	Conserved protein	Saci_2044	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	313
AAY81359	Q4J772	Q4J772_SULAC	unreviewed	Conserved membrane protein	Saci_2065	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	244
AAY81401	Q4J728	Q4J728_SULAC	unreviewed	Conserved protein	Saci_2107	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	180
AAY81456	Q4J6X5	Q4J6X5_SULAC	unreviewed	Uncharacterized protein	Saci_2166	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	116
AAY81470	Q4J6W1	Q4J6W1_SULAC	unreviewed	Conserved Prokaryal protein	Saci_2184	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	114
AAY81478	Q4J6V2	Q4J6V2_SULAC	unreviewed	PINc domain-containing protein	Saci_2192	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	146
AAY81523	Q4J6Q8	Q4J6Q8_SULAC	unreviewed	Conserved membrane protein	Saci_2237	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	165
AAY81528	Q4J6Q4	Q4J6Q4_SULAC	unreviewed	Conserved Archaeal protein	Saci_2242	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	106
AAY81529	Q4J6Q3	Q4J6Q3_SULAC	unreviewed	Conserved Archaeal protein	Saci_2243	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	304
AAY81542	Q4J6P0	Q4J6P0_SULAC	unreviewed	Conserved membrane protein	Saci_2256	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	187
AAY81550	Q4J6N1	Q4J6N1_SULAC	unreviewed	Conserved membrane protein	Saci_2264	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	185
CAA88321	Q53768	Q53768_9CREN	unreviewed	Not known (Quinol oxidase subunit 2)	soxI ATY89_06815 ATZ20_09835	Sulfolobus acidocaldarius	148
AAY81560	Q4J6M1	Q4J6M1_SULAC	unreviewed	Conserved protein	Saci_2274	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	158
AAY81565	Q4J6L6	Q4J6L6_SULAC	unreviewed	Conserved membrane protein	Saci_2279	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	316
AAY81578	Q4J6K5	Q4J6K5_SULAC	unreviewed	Conserved protein	Saci_2292	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	342
AAY81581	Q4J6K0	Q4J6K0_SULAC	unreviewed	Catechol 2,3-dioxygenase (EC 1.13.11.2)	xylE Saci_2295	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	313
AAY81631	Q4J6F0	Q4J6F0_SULAC	unreviewed	Conserved protein	Saci_2349	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	382
AAY81636	Q4J6E5	SLAA_SULAC	reviewed	S-layer protein A (Surface layer large protein)	slaA slp1 Saci_2355	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	1424
AAY81647	Q4J6D6	Q4J6D6_SULAC	unreviewed	Conserved protein	Saci_2368	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	259
AAY80728	Q4J900	Q4J900_SULAC	unreviewed	Conserved protein	Saci_1398	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	96
AAY81058	Q4J823	Q4J823_SULAC	unreviewed	Conserved protein	Saci_1752	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	127
AAY81159	Q4J7S2	Q4J7S2_SULAC	unreviewed	Membrane protein	Saci_1853	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	972
AAY80431	Q4J9U9	Q4J9U9_SULAC	unreviewed	Conserved Crenarchaeal protein	Saci_1074	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	107
AAY81080	Q4J801	Q4J801_SULAC	unreviewed	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	Saci_1774	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	526
AAY81278	Q4J7F1	Q4J7F1_SULAC	unreviewed	Uncharacterized protein	Saci_1976	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	371
AAY80022	Q4JB07	Q4JB07_SULAC	unreviewed	Uncharacterized protein	Saci_0633	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	533
AAY80063	Q4JAW6	Q4JAW6_SULAC	unreviewed	Uncharacterized protein	Saci_0681	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	91
AAY80768	Q4J8W2	Q4J8W2_SULAC	unreviewed	Membrane protein	Saci_1443	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	208
AAY79898	Q4JBD1	Q4JBD1_SULAC	unreviewed	Uncharacterized protein	Saci_0492	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	178
AAY81483	Q4J6U8	Q4J6U8_SULAC	unreviewed	Conserved protein	Saci_2197	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	82
AAY81365	Q4J766	Q4J766_SULAC	unreviewed	Hypothetical membrane protein	Saci_2071	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	115
AAY79432	Q4JCP7	Q4JCP7_SULAC	unreviewed	Conserved protein	Saci_0002	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	111
AAY79540	Q4JCD9	Q4JCD9_SULAC	unreviewed	Uncharacterized protein	Saci_0116	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	102
AAY79587	Q4JC92	Q4JC92_SULAC	unreviewed	Uncharacterized protein	Saci_0167	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	213
AAY79591	Q4JC88	Q4JC88_SULAC	unreviewed	Uncharacterized protein	Saci_0172	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	82
AAY79692	Q4JBY7	Q4JBY7_SULAC	unreviewed	Conserved protein	Saci_0276	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	87
AAY79700	Q4JBX9	Q4JBX9_SULAC	unreviewed	Uncharacterized protein	Saci_0284	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	167
AAY79730	Q4JBU9	Q4JBU9_SULAC	unreviewed	Uncharacterized protein	Saci_0314	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	140
AAY79757	Q4JBS2	Q4JBS2_SULAC	unreviewed	Uncharacterized protein	Saci_0341	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	112
AAY79776	Q4JBQ3	Q4JBQ3_SULAC	unreviewed	Conserved protein	Saci_0360	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	362
AAY81393	Q4J739	Q4J739_SULAC	unreviewed	Conserved protein	Saci_2099	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	336
AAY79819	Q4JBL0	Q4JBL0_SULAC	unreviewed	Uncharacterized protein	Saci_0404	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	396
AAY79833	Q4JBJ6	Q4JBJ6_SULAC	unreviewed	Conserved membrane protein	Saci_0418	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	499
AAY79890	Q4JBD9	Q4JBD9_SULAC	unreviewed	Conserved conjugative plasmid protein	Saci_0484	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	152
AAY79891	Q4JBD8	Q4JBD8_SULAC	unreviewed	Uncharacterized protein	Saci_0485	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	55
AAY80845	Q4J8N2	Q4J8N2_SULAC	unreviewed	Conserved protein	Saci_1527	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	58
AAY79901	Q4JBC8	Q4JBC8_SULAC	unreviewed	Uncharacterized protein	Saci_0495	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	282
AAY80020	Q4JB09	Q4JB09_SULAC	unreviewed	Uncharacterized protein	Saci_0631	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	99
AAY80052	Q4JAX7	Q4JAX7_SULAC	unreviewed	Conserved protein	Saci_0668	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	132
AAY80061	Q4JAW8	Q4JAW8_SULAC	unreviewed	Conserved membrane protein	Saci_0679	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	381
AAY80062	Q4JAW7	Q4JAW7_SULAC	unreviewed	Uncharacterized protein	Saci_0680	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	297
AAY80111	Q4JAR8	Q4JAR8_SULAC	unreviewed	Membrane protein	Saci_0733	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	219
AAY80261	Q4JAB9	Q4JAB9_SULAC	unreviewed	Conserved membrane protein	Saci_0898	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	122
AAY80300	Q4JA80	Q4JA80_SULAC	unreviewed	Conserved protein	Saci_0938	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	65
AAY80349	Q4JA31	Q4JA31_SULAC	unreviewed	Uncharacterized protein	Saci_0988	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	76
AAY80351	Q4JA29	Q4JA29_SULAC	unreviewed	Conserved protein	Saci_0990	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	166
CAD79429	Q70SU4	Q70SU4_9CREN	unreviewed	Uncharacterized protein	ATY89_01330 ATZ20_04365	Sulfolobus acidocaldarius	149
AAY80396	Q4J9Y3	Q4J9Y3_SULAC	unreviewed	Uncharacterized protein	Saci_1039	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	281
AAY80403	Q4J9X6	Q4J9X6_SULAC	unreviewed	Uncharacterized protein	Saci_1046	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	218
AAY80410	Q4J9W8	Q4J9W8_SULAC	unreviewed	Uncharacterized protein	Saci_1053	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	216
AAY80412	Q4J9X0	Q4J9X0_SULAC	unreviewed	Conserved membrane protein	Saci_1055	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	284
AAY80453	Q4J9S7	Q4J9S7_SULAC	unreviewed	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (EC 2.7.6.3)	Saci_1101	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	298
AAY80458	Q4J9S3	Q4J9S3_SULAC	unreviewed	Hydrolase_4 domain-containing protein	Saci_1106	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	389
AAY80482	Q4J9P8	Q4J9P8_SULAC	unreviewed	Uncharacterized protein	Saci_1130	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	86
AAY81369	Q4J763	Q4J763_SULAC	unreviewed	Uncharacterized protein	Saci_2075	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	93
AAY80524	Q4J9K6	Q4J9K6_SULAC	unreviewed	Conserved protein	Saci_1177	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	250
AAY80571	Q4J9F7	Q4J9F7_SULAC	unreviewed	Uncharacterized protein	Saci_1225	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	109
AAY79555	Q4JCC4	Q4JCC4_SULAC	unreviewed	Uncharacterized protein	Saci_0132	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	152
AAY80572	Q4J9F9	Q4J9F9_SULAC	unreviewed	Uncharacterized protein	Saci_1226	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	176
AAY80600	Q4J9D0	Q4J9D0_SULAC	unreviewed	Conserved protein	Saci_1254	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	159
AAY80611	Q4J9B9	Q4J9B9_SULAC	unreviewed	Conserved membrane protein	Saci_1267	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	346
AAY80614	Q4J9B6	Q4J9B6_SULAC	unreviewed	Conserved protein	Saci_1271	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	214
AAY80615	Q4J9B5	Q4J9B5_SULAC	unreviewed	Uncharacterized protein	Saci_1272	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	276
AAY80636	Q4J994	Q4J994_SULAC	unreviewed	Uncharacterized protein	Saci_1295	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	133
AAY80641	Q4J988	Q4J988_SULAC	unreviewed	Uncharacterized protein	Saci_1302	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	433
AAY80643	Q4J987	Q4J987_SULAC	unreviewed	Conserved protein	Saci_1305	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	91
AAY80659	Q4J971	Q4J971_SULAC	unreviewed	Conserved protein	Saci_1324	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	91
AAY80662	Q4J967	Q4J967_SULAC	unreviewed	Uncharacterized protein	Saci_1327	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	125
AAY80699	Q4J931	Q4J931_SULAC	unreviewed	Conserved protein	Saci_1364	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	280
AAY80700	Q4J930	Q4J930_SULAC	unreviewed	Conserved protein	Saci_1366	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	173
AAY80745	Q4J8Y5	Q4J8Y5_SULAC	unreviewed	Conserved protein	Saci_1415	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	95
AAY80748	Q4J8Y1	Q4J8Y1_SULAC	unreviewed	Uncharacterized protein	Saci_1418	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	93
AAY80762	Q4J8W8	Q4J8W8_SULAC	unreviewed	Uncharacterized protein	Saci_1433	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	106
AAY80763	Q4J8W7	Q4J8W7_SULAC	unreviewed	Conserved protein	Saci_1434	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	106
AAY80774	Q4J8V6	Q4J8V6_SULAC	unreviewed	Conserved protein	Saci_1452	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	118
AAY80915	Q4J8G6	Q4J8G6_SULAC	unreviewed	Uncharacterized protein	Saci_1602	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	134
AAY80942	Q4J8D8	Q4J8D8_SULAC	unreviewed	Uncharacterized protein	Saci_1631	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	115
AAY80986	Q4J895	Q4J895_SULAC	unreviewed	Conserved protein	Saci_1676	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	214
